id,molecule,type,x,y,z
1,1,1,-9.12629391689877,-8.496894336423,-9.12629391689877
2,1,1,-8.496894336423,-8.496894336423,-9.12629391689877
3,1,1,-7.86749475594722,-8.496894336423,-9.12629391689877
4,1,1,-7.23809517547144,-8.496894336423,-9.12629391689877
5,1,1,-6.60869559499566,-8.496894336423,-9.12629391689877
6,1,1,-5.97929601451989,-8.496894336423,-9.12629391689877
7,1,1,-5.34989643404411,-8.496894336423,-9.12629391689877
8,1,1,-4.72049685356833,-8.496894336423,-9.12629391689877
9,1,1,-4.09109727309255,-8.496894336423,-9.12629391689877
10,1,1,-3.46169769261677,-8.496894336423,-9.12629391689877
11,1,1,-2.832298112141,-8.496894336423,-9.12629391689877
12,1,1,-2.20289853166522,-8.496894336423,-9.12629391689877
13,1,1,-1.57349895118944,-8.496894336423,-9.12629391689877
14,1,1,-0.944099370713664,-8.496894336423,-9.12629391689877
15,1,1,-0.314699790237887,-8.496894336423,-9.12629391689877
16,1,1,0.314699790237891,-8.496894336423,-9.12629391689877
17,1,1,0.944099370713669,-8.496894336423,-9.12629391689877
18,1,1,1.57349895118945,-8.496894336423,-9.12629391689877
19,1,1,2.20289853166522,-8.496894336423,-9.12629391689877
20,1,1,2.832298112141,-8.496894336423,-9.12629391689877
21,1,1,3.46169769261678,-8.496894336423,-9.12629391689877
22,1,1,4.09109727309256,-8.496894336423,-9.12629391689877
23,1,1,4.72049685356833,-8.496894336423,-9.12629391689877
24,1,1,5.34989643404411,-8.496894336423,-9.12629391689877
25,1,1,5.97929601451989,-8.496894336423,-9.12629391689877
26,1,1,6.60869559499567,-8.496894336423,-9.12629391689877
27,1,1,7.23809517547145,-8.496894336423,-9.12629391689877
28,1,1,7.86749475594722,-8.496894336423,-9.12629391689877
29,1,1,8.496894336423,-8.496894336423,-9.12629391689877
30,1,1,9.12629391689878,-8.496894336423,-9.12629391689877
31,1,1,-9.12629391689877,-7.86749475594722,-9.12629391689877
32,1,1,-8.496894336423,-7.86749475594722,-9.12629391689877
33,1,1,-7.86749475594722,-7.86749475594722,-9.12629391689877
34,1,1,-7.23809517547144,-7.86749475594722,-9.12629391689877
35,1,1,-6.60869559499566,-7.86749475594722,-9.12629391689877
36,1,1,-5.97929601451989,-7.86749475594722,-9.12629391689877
37,1,1,-5.34989643404411,-7.86749475594722,-9.12629391689877
38,1,1,-4.72049685356833,-7.86749475594722,-9.12629391689877
39,1,1,-4.09109727309255,-7.86749475594722,-9.12629391689877
40,1,1,-3.46169769261677,-7.86749475594722,-9.12629391689877
